"MTU","Scheduled Generation [MW] (D) - BZN|DK1","Scheduled Consumption [MW] (D) - BZN|DK1"
"01.01.2015 00:00 - 01.01.2015 01:00 (CET/CEST)","N/A","N/A"
"01.01.2015 01:00 - 01.01.2015 02:00 (CET/CEST)","N/A","N/A"
"01.01.2015 02:00 - 01.01.2015 03:00 (CET/CEST)","N/A","N/A"
"01.01.2015 03:00 - 01.01.2015 04:00 (CET/CEST)","N/A","N/A"
"01.01.2015 04:00 - 01.01.2015 05:00 (CET/CEST)","N/A","N/A"
"01.01.2015 05:00 - 01.01.2015 06:00 (CET/CEST)","N/A","N/A"
"01.01.2015 06:00 - 01.01.2015 07:00 (CET/CEST)","N/A","N/A"
"01.01.2015 07:00 - 01.01.2015 08:00 (CET/CEST)","N/A","N/A"
"01.01.2015 08:00 - 01.01.2015 09:00 (CET/CEST)","N/A","N/A"
"01.01.2015 09:00 - 01.01.2015 10:00 (CET/CEST)","N/A","N/A"
"01.01.2015 10:00 - 01.01.2015 11:00 (CET/CEST)","N/A","N/A"
"01.01.2015 11:00 - 01.01.2015 12:00 (CET/CEST)","N/A","N/A"
"01.01.2015 12:00 - 01.01.2015 13:00 (CET/CEST)","N/A","N/A"
"01.01.2015 13:00 - 01.01.2015 14:00 (CET/CEST)","N/A","N/A"
"01.01.2015 14:00 - 01.01.2015 15:00 (CET/CEST)","N/A","N/A"
"01.01.2015 15:00 - 01.01.2015 16:00 (CET/CEST)","N/A","N/A"
"01.01.2015 16:00 - 01.01.2015 17:00 (CET/CEST)","N/A","N/A"
"01.01.2015 17:00 - 01.01.2015 18:00 (CET/CEST)","N/A","N/A"
"01.01.2015 18:00 - 01.01.2015 19:00 (CET/CEST)","N/A","N/A"
"01.01.2015 19:00 - 01.01.2015 20:00 (CET/CEST)","N/A","N/A"
"01.01.2015 20:00 - 01.01.2015 21:00 (CET/CEST)","N/A","N/A"
"01.01.2015 21:00 - 01.01.2015 22:00 (CET/CEST)","N/A","N/A"
"01.01.2015 22:00 - 01.01.2015 23:00 (CET/CEST)","N/A","N/A"
"01.01.2015 23:00 - 02.01.2015 00:00 (CET/CEST)","N/A","N/A"
"02.01.2015 00:00 - 02.01.2015 01:00 (CET/CEST)","N/A","N/A"
"02.01.2015 01:00 - 02.01.2015 02:00 (CET/CEST)","N/A","N/A"
"02.01.2015 02:00 - 02.01.2015 03:00 (CET/CEST)","N/A","N/A"
"02.01.2015 03:00 - 02.01.2015 04:00 (CET/CEST)","N/A","N/A"
"02.01.2015 04:00 - 02.01.2015 05:00 (CET/CEST)","N/A","N/A"
"02.01.2015 05:00 - 02.01.2015 06:00 (CET/CEST)","N/A","N/A"
"02.01.2015 06:00 - 02.01.2015 07:00 (CET/CEST)","N/A","N/A"
"02.01.2015 07:00 - 02.01.2015 08:00 (CET/CEST)","N/A","N/A"
"02.01.2015 08:00 - 02.01.2015 09:00 (CET/CEST)","N/A","N/A"
"02.01.2015 09:00 - 02.01.2015 10:00 (CET/CEST)","N/A","N/A"
"02.01.2015 10:00 - 02.01.2015 11:00 (CET/CEST)","N/A","N/A"
"02.01.2015 11:00 - 02.01.2015 12:00 (CET/CEST)","N/A","N/A"
"02.01.2015 12:00 - 02.01.2015 13:00 (CET/CEST)","N/A","N/A"
"02.01.2015 13:00 - 02.01.2015 14:00 (CET/CEST)","N/A","N/A"
"02.01.2015 14:00 - 02.01.2015 15:00 (CET/CEST)","N/A","N/A"
"02.01.2015 15:00 - 02.01.2015 16:00 (CET/CEST)","N/A","N/A"
"02.01.2015 16:00 - 02.01.2015 17:00 (CET/CEST)","N/A","N/A"
"02.01.2015 17:00 - 02.01.2015 18:00 (CET/CEST)","N/A","N/A"
"02.01.2015 18:00 - 02.01.2015 19:00 (CET/CEST)","N/A","N/A"
"02.01.2015 19:00 - 02.01.2015 20:00 (CET/CEST)","N/A","N/A"
"02.01.2015 20:00 - 02.01.2015 21:00 (CET/CEST)","N/A","N/A"
"02.01.2015 21:00 - 02.01.2015 22:00 (CET/CEST)","N/A","N/A"
"02.01.2015 22:00 - 02.01.2015 23:00 (CET/CEST)","N/A","N/A"
"02.01.2015 23:00 - 03.01.2015 00:00 (CET/CEST)","N/A","N/A"
"03.01.2015 00:00 - 03.01.2015 01:00 (CET/CEST)","N/A","N/A"
"03.01.2015 01:00 - 03.01.2015 02:00 (CET/CEST)","N/A","N/A"
"03.01.2015 02:00 - 03.01.2015 03:00 (CET/CEST)","N/A","N/A"
"03.01.2015 03:00 - 03.01.2015 04:00 (CET/CEST)","N/A","N/A"
"03.01.2015 04:00 - 03.01.2015 05:00 (CET/CEST)","N/A","N/A"
"03.01.2015 05:00 - 03.01.2015 06:00 (CET/CEST)","N/A","N/A"
"03.01.2015 06:00 - 03.01.2015 07:00 (CET/CEST)","N/A","N/A"
"03.01.2015 07:00 - 03.01.2015 08:00 (CET/CEST)","N/A","N/A"
"03.01.2015 08:00 - 03.01.2015 09:00 (CET/CEST)","N/A","N/A"
"03.01.2015 09:00 - 03.01.2015 10:00 (CET/CEST)","N/A","N/A"
"03.01.2015 10:00 - 03.01.2015 11:00 (CET/CEST)","N/A","N/A"
